url,status,final_url,redirected,response_time,error
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-largs-bay/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-largs-bay/,False,1.98,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-malvern/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-malvern/,False,2.19,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-marion/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-marion/,False,2.51,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-mawson-lakes/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-mawson-lakes/,False,2.6,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-modbury-heights/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-modbury-heights/,False,2.58,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-modbury/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-modbury/,False,2.6,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-morphett-vale/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-morphett-vale/,False,2.57,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-mount-barker/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-mount-barker/,False,2.6,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-murray-bridge/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-murray-bridge/,False,2.6,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-noarlunga/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-noarlunga/,False,2.59,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-north-adelaide/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-north-adelaide/,False,2.5,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-norwood/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-norwood/,False,2.3,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-oaklands-park/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-oaklands-park/,False,1.93,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-parafield-gardens/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-parafield-gardens/,False,1.83,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-parafield/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-parafield/,False,1.82,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-parkside/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-parkside/,False,1.81,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-pooraka/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-pooraka/,False,1.8,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-port-adelaide/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-port-adelaide/,False,1.8,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-prospect/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-prospect/,False,1.71,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-redwood-park/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-redwood-park/,False,1.71,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-ridgehaven/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-ridgehaven/,False,1.79,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-rose-park/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-rose-park/,False,1.7,
https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-royal-park/,200,https://ydcleaning.com.au/services/bathroom-deep-cleaning-adelaide-royal-park/,False,1.75,
